Stream Crossing Id,My Crossing Reference,Watershed Group,Stream Name,Road Name,Assessment,Reassessment,Habitat Confirmation,Design,Remediation,Fish Sampling,Link Report1,Link Report2,Link Report3,Rank
197923,14000949,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197924,14000954,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197925,14000908,Morice River,Tributary to Gosnell Creek,,yes,,,,,,url_link,,,
197926,14001002,Morice River,Tributary to Morice River,Morice West FSR,yes,,,,,,url_link,,,
197927,14001000,Morice River,Tributary to Morice River,Morice West FSR,yes,,,,,,url_link,,,
197928,14000997,Morice River,Tributary to Morice River,Morice West FSR,yes,,,,,,url_link,,,
197929,14000988,Morice River,Tributary to Morice River,Morice West FSR,yes,,,,,,url_link,,,
197930,14000931,Morice River,Tributary to Nanika River,Spur,yes,,,,,,url_link,,,
197931,14000932,Morice River,Tributary to Nanika River,Spur,yes,,,,,,url_link,,,
197932,14001721,Morice River,Tributary to Nanika River,Spur,yes,,,,,,url_link,,,
197933,14001775,Morice River,Tributary to Nanika River,Spur,yes,,,,,,url_link,,,
197934,14001414,Morice River,Tributary to Nanika River,Spur,yes,,,,,,url_link,,,
197935,14001411,Morice River,Tributary to Nanika River,Spur,yes,,,,,,url_link,,,
197936,2021090299,Morice River,,Spur,yes,,,,,,url_link,,,
197937,14000536,Morice River,Tributary to Nanika River,Spur,yes,,,,,,url_link,,,
197938,2021083150,Bulkley River,Bulkley River Side Channel,Railway,yes,,,,,,url_link,,,
197939,2021090202,Morice River,Tributary to McBride River,Spur,yes,,,,,,url_link,,,
197940,14000312,Morice River,Tributary to McBride River,Spur,yes,,,,,,url_link,,,
197941,14000477,Morice River,Tributary to McBride River,Spur,yes,,,,,,url_link,,,
197942,14000564,Morice River,Tributary to Thaulit River,Chisholm FSR,yes,,,,,,url_link,,,
197943,14000689,Morice River,Hagman Creek,Chisholm FSR,yes,,,,,,url_link,,,
197944,14000695,Morice River,Tributary to Thaulit River,Chisholm FSR,yes,,,,,,url_link,,,
197945,14000684,Morice River,Tributary to Thaulit River,Chisholm FSR,yes,,,,,,url_link,,,
197946,14000678,Morice River,Foxy Creek,Chisholm FSR,yes,,,,,,url_link,,,
197947,14000680,Morice River,Tributary to Morice River,Chisholm FSR,yes,,,,,,url_link,,,
197948,14001323,Morice River,Tributary to Tagit Creek,15 Rd,yes,,,,,,url_link,,,
197949,2021090303,Morice River,Tributary to Tagit Creek,11 Rd,yes,,yes,,,,url_link,,,
197950,2021090399,Morice River,Tagit Creek,Chisholm FSR,yes,,,,,,url_link,,,
197951,14001177,Morice River,Tributatry to Morice River,False Tagit FSR,yes,,,,,,url_link,,,
197952,14000690,Morice River,Tributary to Morice River,Chisholm FSR,yes,,,,,,url_link,,,
197953,14001563,Morice River,Tributary to Morice River,Spur,yes,,,,,,url_link,,,
197954,14000696,Morice River,Tributary to Morice River,Chisholm FSR,yes,,,,,,url_link,,,
197955,1800422,Bulkley River,Ailport Creek,Powerline,yes,,,,,,url_link,,,
197956,1801133,Bulkley River,Tributary to Bulkley River,Spur,yes,,,,,,url_link,,,
197957,1801969,Bulkley River,Tributary to Elwin Lake,Spur,yes,,,,,,url_link,,,
197958,1803828,Bulkley River,Tributary to Bulkley River,Spur,yes,,,,,,url_link,,,
197959,1804238,Bulkley River,Tributary to Bulkley River,Spur,yes,,,,,,url_link,,,
197960,24704566,Bulkley River,Corya Creek,CN Railway,yes,,yes,,,yes,url_link,,,3
197961,1805496,Bulkley River,Owens Creek,CN Railway,yes,,,,,,url_link,,,
197962,14000798,Morice River,Peacock Creek,Morice FSR,yes,,yes,,yes,yes,url_link,,,5
197963,1805531,Bulkley River,Tributary to Bulkley River,Railway,yes,,,,,,url_link,,,
197964,1805529,Bulkley River,Bulkley River,Railway,yes,,,,,,url_link,,,
197965,14000820,Morice River,Tributary to Collins Lake,Morice R FSR,yes,,,,,,url_link,,,
197966,1800049,Bulkley River,Bulkley River,Rose Lake Cuttoff Road,yes,,,,,,url_link,,,
197967,1800050,Bulkley River,Taman Creek,Highway 16,yes,yes,yes,,yes,,url_link,url_link,,4
197968,1801117,Bulkley River,Bulkley River,Spur,yes,,,,,,url_link,,,
197969,1800583,Bulkley River,Bulkley River,Raymond Road,yes,,,,,,url_link,,,
197970,1803813,Bulkley River,Tributary to Broman Lake,Broman Lake FSR,yes,,,,,,url_link,,,
197971,1805000,Bulkley River,Bulkley River,Broman Lake FSR,yes,,,,,,url_link,,,
197972,1802040,Bulkley River,Tributary to Broman Lake,Powerline,yes,,,,,,url_link,,,
197973,1802039,Bulkley River,Bulkley River,Powerline,yes,,,,,,url_link,,,
197974,1800356,Bulkley River,Watson Creek,Highway 16,yes,,yes,,,,url_link,,,
197975,1801122,Bulkley River,Ailport Creek,Private Driveway,yes,,yes,,,yes,url_link,,,7
197976,1800355,Bulkley River,Ailport Creek,Highway 16,yes,,yes,,,,url_link,,,
197977,2021090150,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197978,14000935,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197979,14000934,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197980,14000956,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197981,14000951,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197982,14000941,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197983,14000488,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197984,14000503,Morice River,Tributary to Gosnell Creek,6 Road,yes,,,,,,url_link,,,
197985,14000500,Morice River,Tributary to Gosnell Creek,6 Road,yes,,,,,,url_link,,,
197986,14000495,Morice River,Tributary to Gosnell Creek,6 Road,yes,,,,,,url_link,,,
197987,14000421,Morice River,Tributary to Gosnell Creek,11 Road,yes,,,,,,url_link,,,
197988,14000505,Morice River,Tributary to Gosnell Creek,6 Road,yes,,,,,,url_link,,,
197989,14000801,Morice River,Tributary to Morice River,Morice FSR,yes,,,,,,url_link,,,
197990,14000490,Morice River,Tributary to Gosnell Creek,6 Road,yes,,,,,,url_link,,,
197991,14000506,Morice River,Tributary to Gosnell Creek,6 Road,yes,,,,,,url_link,,,
197992,2021090161,Morice River,Tributary to Gosnell Creek,6 Road,yes,,,,,,url_link,,,
